Colonia,El patrimonio,La familia,La libertad y la seguridad sexual,La vida y la integridad corporal,Superficie en kilómetros cuadrados,Población femenina,Población masculina,Niños 3 - 14 años,Población en hogares censales indígenas,Población con discapacidad,Población que no asiste a la escuela,Población de 12 años y más no económicamente activa,Población de 12 años y más desocupada,Viviendas sin medio de transporte,Viviendas sin tecnologías
PONCIANO ARRIAGA,24,3,0,3,"614.836,00",504,458,345,3,37,127,274,9,95,3
PONIENTE,190,17,1,16,"228.478,29","1,277","1,138",542,25,80,219,858,10,158,1
PONTEVEDRA,2,0,0,0,"695.259,81",0,0,0,0,0,0,0,0,0,0
POPULAR,62,10,2,10,"125.004,62","1,054","1,118",581,1,126,225,669,27,280,7
POPULAR HORNOS,54,2,1,4,"1.645.487,55",426,362,186,0,31,93,278,1,47,1
POPULAR No 9,94,4,2,5,"1.489.891,86",363,363,161,1,29,70,250,7,80,0
PORTA REAL,0,1,0,3,"72.684,42",822,774,214,1,7,334,427,7,21,1
PORTILLO LOPEZ (SALVADOR PORTILLO LOPEZ),85,17,2,39,"507.726,80","1,821","1,841","1,117",46,153,393,956,9,448,30
POSTES CUATES,129,20,3,22,"279.291,11","1,96","1,774",865,22,303,322,"1,157",20,515,4
POTRERO DE SAN FRANCISCO,8,3,0,3,"33.785,51",846,772,679,1,68,184,450,17,138,1
POTRERO DEL CANDADO,44,2,0,8,"136.026,75",70,90,79,9,4,25,40,4,13,3
POTRERO EL ZALATE,2,0,0,0,"382.833,85",19,15,19,2,3,12,7,5,6,2
POTRERO GIGANTE,1,1,0,0,"151.267,43",32,42,18,0,5,11,15,1,6,0
POTRERO LOS AMADOR,6,0,0,1,"92.711,64",87,78,73,0,10,5,38,0,13,0
POTRERO NUEVO,115,37,6,25,"190.147,43","2,721","2,692","1,823",18,168,593,"1,577",18,408,13
POTRERO SAN JOSE,16,6,1,8,"184.069,47",188,187,148,2,6,45,105,4,65,7
PRADERAS DE LA ALAMEDA,23,8,1,3,"804.944,12",230,224,184,4,28,54,136,14,57,6
PRADERAS DE SAN ANTONIO,11,12,4,3,"10.759,93",922,941,726,22,72,196,498,19,148,3
PRADERAS DE TESISTAN,5,2,0,1,"271.941,46",144,155,126,7,21,26,66,0,28,1
PRADERAS DEL CENTINELA,7,0,0,1,"101.685,87",263,242,139,1,11,59,129,3,6,0
PRADERAS DEL SOL,15,6,0,2,"490.578,22",167,136,99,1,8,41,88,4,28,1
PRADERAS TONALLAN,5,3,0,0,"127.477,31",460,461,397,5,28,125,264,10,92,6
PRADO ARBOLEDAS,15,3,1,6,"91.559,25",193,171,116,8,10,54,97,2,33,0
PRADO DE LA LUNA,2,0,0,0,"1.181.628,44",471,481,340,0,20,114,213,2,44,0
PRADOS COYULA,112,22,4,17,"822.614,41","1,575","1,58",999,9,57,387,803,18,274,4
PRADOS DE EL VERDE,29,0,1,6,"401.941,08",398,372,334,5,18,72,177,3,75,1
PRADOS DE LA CAÃ‘ADA,54,15,3,15,"401.941,08",398,372,334,5,18,72,177,3,75,1
PRADOS DE LA HIGUERA,15,3,2,2,"134.466,16",103,101,80,0,7,25,72,0,6,0
PRADOS DE NEXTIPAC 2a SECCION,5,5,0,3,"1.479.688,70",210,196,176,6,2,43,121,2,50,2
PRADOS DE SANTA LUCIA,30,23,5,24,"228.366,25","2,686","2,591","2,068",80,150,577,"1,318",50,617,18
PRADOS DE SANTA MARIA,19,5,0,2,"296.615,10",822,778,524,5,34,196,492,15,86,1
PRADOS DEL MAGUEY,0,0,1,0,"1.449.104,92",0,0,0,0,0,0,0,0,0,0
PRADOS DEL NILO,422,6,3,18,"410.938,95",0,0,0,0,0,0,0,0,0,0
PRADOS GUADALUPE,114,5,1,4,"345.527,91",575,525,167,7,49,116,404,2,53,1
PRADOS PROVIDENCIA,654,7,4,15,"58.588,96","2,709","2,255",401,17,109,591,"1,475",33,227,1
PRADOS TEPEYAC,236,14,2,8,"149.360,13","1,292","1,167",326,15,34,239,736,16,119,3
PRADOS TLAQUEPAQUE,13,5,1,2,"203.147,55",478,482,280,0,14,164,296,16,87,1
PRADOS VALLARTA,244,12,3,5,"93.469,51","1,48","1,248",398,16,116,238,"1,019",21,156,1
PRESIDENTES,3,0,0,2,"14.887,60",140,218,116,3,9,43,79,4,28,3
PRIMAVERA NORTE,20,3,0,2,"119.995,77",406,354,157,9,32,77,154,8,115,0
PRIVADAS DE LA REYNA,19,8,0,3,"770.079,21",622,585,468,0,16,143,318,1,96,0
PRIVANZA,3,1,0,0,"2.437,24",157,139,78,0,12,35,81,2,6,0
PRIVANZA LA CEIBA,0,0,0,1,"216.127,12",0,0,0,0,0,0,0,0,0,0
PROGRESO,250,21,6,14,"287.630,10","2,003","1,838",949,0,195,389,"1,172",11,547,2
PROVENZA,21,0,0,2,"158.596,41",579,503,367,0,9,136,367,3,4,0
PROVIDENCIA,498,4,9,20,"32.732,30",479,416,127,8,61,97,348,7,23,0
PROVIDENCIA 2a SECCION,191,6,1,5,"104.326,63","1,034",908,216,12,50,203,555,7,70,0
PROVIDENCIA 3a SECCION,132,4,1,3,"149.086,75",662,528,125,4,33,84,412,3,27,0
PROVIDENCIA 4a SECCION,386,14,3,14,"187.690,78","1,652","1,522",319,17,92,462,"1,176",21,149,3
PUEBLITO DEL SOL,2,0,0,2,"119.318,74",358,321,214,0,28,102,217,3,83,0
PUENTE GRANDE,110,15,9,31,"293.496,40","1,772","1,693",940,3,175,317,"1,31",26,402,9
