Colonia,El patrimonio,La familia,La libertad y la seguridad sexual,La vida y la integridad corporal,Superficie en kilómetros cuadrados,Población femenina,Población masculina,Niños 3 - 14 años,Población en hogares censales indígenas,Población con discapacidad,Población que no asiste a la escuela,Población de 12 años y más no económicamente activa,Población de 12 años y más desocupada,Viviendas sin medio de transporte,Viviendas sin tecnologías
VALLE DE LOS ENCINOS,37,27,1,18,"329.622,27","4,656","4,552","3,496",229,372,901,"1,843",95,"1,945",11
VALLE DE LOS GIRASOLES,6,5,4,3,"101.462,70",0,0,0,0,0,0,0,0,0,0
VALLE DE LOS LEONES,5,2,0,0,"430.036,32",24,17,22,0,0,2,11,0,3,0
VALLE DE LOS MOLINOS,135,131,22,69,"430.036,32",24,17,22,0,0,2,11,0,3,0
VALLE DE LOS OLIVOS,17,28,4,13,"1.545.566,60","1,254","1,299","1,048",52,100,255,489,30,590,7
VALLE DE LOS OLIVOS II,22,24,8,8,"1.025.348,21","1,956","1,844","1,596",43,284,357,"1,037",38,898,12
VALLE DE LOS SABINOS I,12,7,6,11,"121.834,10","1,739","1,696","1,42",31,141,314,857,29,823,7
VALLE DE LOS SABINOS II,0,2,1,3,"131.402,46","1,279","1,272","1,172",14,137,287,719,10,546,2
VALLE DE LOS SABINOS III,4,7,5,1,"24.405,63","2,6","2,476","2,399",102,254,505,"1,159",27,"1,045",23
VALLE DE LOS SABINOS IV,8,10,2,7,"423.094,30","2,122","2,028","1,892",49,90,366,"1,012",20,855,20
VALLE DE LOS SAUCES,17,3,1,5,"385.460,19",694,683,386,13,38,185,407,7,47,0
VALLE DE SAN ISIDRO,68,24,5,10,"198.286,15","2,985","2,728","1,398",14,149,776,"1,594",55,222,0
VALLE DE SAN NICOLAS,86,4,0,9,"47.761,62",793,781,494,6,27,199,333,8,119,0
VALLE DE SAN NICOLAS 3ra SECC,3,0,1,1,"2.158.054,44",483,471,329,22,29,121,251,11,49,0
VALLE DE TEJEDA,27,25,5,16,"376.393,18","4,246","3,955","3,27",77,254,772,"1,764",59,"2,04",13
VALLE DE TLAJOMULCO,14,3,0,2,"683.516,67",385,335,279,0,44,57,172,0,62,1
VALLE DEL ALAMO,85,6,0,8,"63.034,27",343,341,275,0,3,103,224,0,5,0
VALLE DEL FORTIN,0,1,0,0,"1.917.102,21",179,183,132,10,5,37,96,3,32,0
VALLE DEL PARAISO,6,1,0,4,"1.001.038,31",200,193,180,0,6,43,111,2,69,0
VALLE DEL SOL,8,8,1,1,"126.999,76","3,215","3,198","2,549",257,132,666,"1,286",48,"1,363",7
VALLE DEL SUR,11,5,0,2,"94.232,89",292,320,145,3,13,64,149,3,9,0
VALLE DORADO,125,37,5,30,"595.824,52","2,825","2,801","2,188",10,226,724,"1,667",45,714,2
VALLE DORADO 2DA SECCION INN,13,7,2,3,"176.114,09",694,721,554,0,34,200,462,6,128,0
VALLE ESMERALDA,10,2,0,1,"178.177,22",288,287,29,0,1,24,47,1,0,0
VALLE IMPERIAL,43,10,0,4,"126.979,10","1,471","1,522",783,23,31,449,921,27,23,10
VALLE NORTE,3,0,0,1,"127.121,11",34,34,22,0,1,4,28,0,1,0
VALLE REAL,193,19,3,10,"198.761,10","3,631","3,156","1,214",20,80,979,"2,286",24,23,3
VALLES DE NUEVO MEXICO,12,4,1,4,"109.247,26",636,611,375,10,51,155,360,4,120,1
VENUSTIANO CARRANZA,46,6,0,8,"87.642,25","1,662","1,578",825,7,91,286,885,15,244,0
VERDE VALLE,144,13,2,7,"182.443,95","1,2","1,115",867,5,69,317,618,19,207,1
VIA NOVA,0,2,0,0,"45.256,22",490,520,90,5,25,28,84,0,21,1
VICENTE GUERRERO,327,55,17,40,"442.002,66","2,336","2,261","1,615",144,161,537,"1,137",8,529,2
VICTOR HUGO,71,18,3,12,"82.628,15","1,735","1,557","1,053",43,172,330,"1,057",32,425,5
VICTORIA,939,44,12,26,"665.510,02","1,904","1,734",539,9,182,320,"1,191",16,126,2
VIGUSA,0,1,0,0,"75.253,32",108,84,27,0,10,28,81,1,22,0
VILLA BONITA,10,0,0,1,"575.592,38",247,236,151,4,7,66,117,3,24,0
VILLA CALIFORNIA,30,10,0,6,"82.532,15",856,826,488,2,38,184,449,8,19,1
VILLA DE GUADALUPE,276,149,36,104,"1.108.695,73","9,61","9,517","6,391",128,815,"1,827","4,758",123,"2,276",32
VILLA DE SAN MIGUEL CUYUTLAN,3,0,0,0,"200.113,44",132,118,90,0,12,25,54,0,38,0
VILLA ESMERALDA,1,0,0,0,"2.324.651,04",512,479,346,6,45,77,253,9,74,1
VILLA FONTANA AQUA,198,48,17,74,"168.002,87","7,621","7,494","6,235",249,430,"1,506","3,536",155,"3,583",46
VILLA FONTANA DIAMANTE,24,29,2,7,"326.488,30","5,191","4,967","3,359",359,211,995,"1,861",114,"1,906",8
VILLA GALICIA,3,1,0,2,"332.959,91",716,657,628,44,46,153,298,12,226,5
VILLA GUERRERO,386,42,10,54,"264.184,91","4,605","4,288","2,589",58,517,828,"2,528",51,933,2
VILLA HERMOSA,118,14,2,11,"177.375,50","1,664","1,62",983,25,253,307,929,15,297,0
VILLA LA CIMA,26,4,1,0,"622.106,02",259,216,98,4,6,78,156,4,2,0
VILLA LAS FLORES,1,0,0,0,"159.466,09",0,0,0,0,0,0,0,0,0,0
VILLA LUNA,85,14,4,12,"1.844.091,22","3,692","3,468","2,883",75,248,763,"1,692",55,986,8
VILLA MAGNA,2,1,0,1,"642.618,15",141,109,64,17,11,35,57,2,13,0
VILLA TURQUEZA,0,1,0,0,"105.962,47",0,0,0,0,0,0,0,0,0,0
VILLA UNIVERSITARIA,188,10,3,10,"121.168,72","1,423","1,373",433,25,73,470,868,24,81,7
VILLA VERONA,7,1,0,0,"107.496,06",626,488,356,2,9,163,309,6,4,2
VILLALTA,35,17,1,9,"352.741,70","2,241","2,139","1,594",85,196,419,817,29,693,3
VILLANOVA,4,1,0,1,"82.686,06",65,71,75,0,0,9,21,0,3,0
VILLAS ALCALDE,9,4,1,2,"453.051,99",229,202,107,0,30,52,116,1,69,0
VILLAS ANDALUCIA,108,48,6,20,"387.183,00","6,966","6,63","6,077",49,398,"1,168","3,169",98,"2,091",10
VILLAS BELENES,111,15,2,17,"1.797.875,07","1,275","1,161",426,6,81,380,773,22,114,1
VILLAS DE AGUA BLANCA,0,1,1,0,"361.241,16",0,0,0,0,0,0,0,0,0,0
VILLAS DE ASIS,2,0,0,0,"51.784,96",162,142,83,0,1,32,74,1,2,0
VILLAS DE GUADALUPE,177,41,5,38,"386.860,00",0,0,0,0,0,0,0,0,0,0
VILLAS DE LA ALAMEDA,18,7,3,5,"450.703,73","1,385","1,376","1,263",17,70,293,618,23,455,5
VILLAS DE LA CRUZ (EL ROBLE),5,2,0,0,"423.534,74",129,125,106,0,1,24,76,2,26,0
VILLAS DE LA HACIENDA,293,75,7,68,"118.334,84","4,667","4,638","3,594",86,434,"1,178","2,572",80,"1,145",11
VILLAS DE LA LOMA,82,12,1,16,"292.808,17",112,123,68,0,6,38,67,0,15,1
VILLAS DE LA PRIMAVERA,0,1,0,0,"174.617,60",231,210,154,5,9,70,115,7,36,0
VILLAS DE LA TIJERA,25,3,3,6,"1.042.932,43",386,378,199,0,68,101,176,11,42,0
VILLAS DE NUEVO MEXICO,7,4,0,1,"43.885,70",661,616,441,25,59,164,333,13,138,1
VILLAS DE ORIENTE I,555,23,4,31,"640.897,49","2,626","2,461","1,427",14,166,614,"1,366",63,728,2
VILLAS DE OTERO,3,0,0,0,"778.326,62",174,173,92,0,1,48,73,4,18,0
VILLAS DE SAN AGUSTIN,7,3,2,5,"1.006.769,06",434,453,373,13,17,101,216,9,112,0
VILLAS DE SAN GILBERTO,25,14,1,10,"263.388,51",305,294,243,8,15,65,120,1,135,2
VILLAS DE SAN JAVIER,1,0,0,0,"128.392,45",951,889,339,9,43,174,484,17,135,0
VILLAS DE SAN JUAN,223,13,1,16,"296.930,16","1,907","1,71",780,10,127,381,789,19,615,3
VILLAS DE SAN MARTIN,3,1,0,1,"124.719,38",292,286,246,1,17,58,161,6,27,1
VILLAS DE SAN SEBASTIAN,1,2,0,1,"658.090,19",896,854,697,26,26,150,406,6,379,8
VILLAS DE SANTA ANITA,5,0,0,0,"655.492,09",38,44,14,0,2,7,36,2,0,0
VILLAS DE SANTA LUCIA,3,1,1,2,"153.261,95",371,328,295,16,21,98,217,10,63,0
VILLAS DE TESISTAN,9,3,0,5,"133.776,97",522,517,353,11,37,137,285,9,110,1
VILLAS DE ZALATITAN,20,9,0,4,"345.385,35",312,331,284,1,21,69,187,3,69,0
VILLAS DE ZAPOTEPEC,2,7,2,3,"130.476,36",572,580,463,11,31,148,227,7,134,1
VILLAS DEL BOSQUE,8,0,0,3,"199.906,56",83,71,55,17,16,18,41,1,24,0
VILLAS DEL EDEN,5,0,0,0,"70.538,22",61,73,53,1,3,17,24,0,11,0
VILLAS DEL IXTEPETE,32,7,1,6,"18.389,23",862,790,477,10,17,214,431,17,59,0
VILLAS DEL MARQUEZ,11,1,2,2,"627.202,50",404,391,214,8,63,98,165,6,80,0
VILLAS DEL ORIENTE II,95,9,0,6,"1.430.150,82",677,618,315,3,30,157,305,13,162,0
VILLAS DEL PALMAR,1,0,0,2,"319.695,21",81,73,45,0,1,22,42,0,2,0
VILLAS DEL TAPATIO,56,8,0,8,"47.026,02",355,358,252,1,45,88,206,14,63,2
VILLAS DEL TEPEYAC,1,3,0,0,"63.112,88",615,540,284,18,15,119,237,15,71,1
VILLAS DEL VALLE,14,5,0,2,"305.601,10",0,0,0,0,0,0,0,0,0,0
VILLAS ESMERALDA,1,1,0,0,"1.449.684,34",135,128,65,0,11,37,104,0,2,0
VILLAS FONTANA,165,44,9,31,"1.449.684,34",135,128,65,0,11,37,104,0,2,0
VILLAS LOS CANTAROS,56,11,2,12,"58.669,73","1,155","1,14",610,0,13,370,752,5,186,0
VILLAS MIRADOR,2,1,0,1,"380.728,99",491,453,268,3,38,113,213,12,120,0
VILLAS OTERO DE GUADALUPE,3,2,0,1,"1.079.411,58",44,42,25,0,1,7,21,0,1,0
VILLAS PERISUR,26,14,4,2,"57.968,01",531,461,245,1,24,110,243,4,66,2
VILLAS SAN IGNACIO,1,0,0,0,"157.772,49",657,652,394,36,36,157,325,6,107,1
VILLAS SAN MIGUEL,6,4,0,1,"242.785,63",296,303,222,0,10,85,168,1,19,0
VILLAS SANTA SOFIA,4,0,0,1,"26.745,30",23,29,22,1,6,12,15,2,11,1
VILLAS TERRANOVA,122,28,5,30,"48.393,44","5,471","5,431","5,072",306,373,"1,171","2,812",70,"1,338",7
VILLAS TORREMOLINOS,74,24,3,8,"124.985,19","3,196","2,939","1,423",20,137,881,"1,807",51,381,1
VILLAS VALLARTA,5,1,0,1,"340.706,26",128,131,48,1,23,51,87,2,13,1
VILLASEÃ‘OR (SANTA TERESITA),1090,62,7,81,"340.706,26",128,131,48,1,23,51,87,2,13,1
VIRREYES,50,6,1,4,"51.864,17","1,547","1,397",548,0,29,430,"1,091",28,10,0
VISTA DEL PINAR,4,2,0,4,"40.796,13","1,278","1,165",421,3,42,304,594,14,90,0
VISTA DEL REY,1,0,0,0,"51.815,01",52,52,46,0,1,9,18,0,3,0
VISTA HERMOSA,76,42,12,29,"1.019.987,58","1,194","1,282",842,1,102,296,622,14,222,3
VISTAS  DEL VALLE,1,0,0,0,"96.689,91",37,37,30,0,0,10,21,0,0,0
VISTAS DE SAN AGUSTIN I,2,4,1,2,"509.141,09",375,328,173,3,27,83,163,9,49,0
VISTAS DE SAN AGUSTIN II,0,1,0,1,"137.125,94",273,275,159,0,14,56,120,2,24,0
VISTAS DE TESISTAN,28,13,1,9,"14.575,65","2,105","2,12","1,785",87,151,473,"1,067",39,495,2
VISTAS DEL CUATRO,10,7,0,19,"121.124,76",637,632,519,10,73,140,317,12,131,3
VISTAS DEL NILO,9,1,1,2,"57.561,63",376,340,204,0,25,82,186,11,71,0
VISTAS DEL PEDREGAL,6,4,0,3,"149.065,23","1,589","1,634","1,412",7,82,261,729,19,459,6
VISTAS DEL PEDREGAL I,10,4,1,7,"432.473,85",722,754,653,19,90,155,314,5,163,1
VISTAS DEL SOL,6,3,0,1,"581.376,37",83,88,21,0,1,30,64,1,1,0
VISTAS DEL TULE I,1,1,0,0,"42.162,78",97,80,38,0,1,21,43,0,0,0
VISTAS DEL VALLE,9,14,0,6,"212.273,24",0,0,0,0,0,0,0,0,0,0
VISTAS DEL VALLE (VILLAS DE SAN SEBASTIAN),41,25,2,13,"291.651,41","1,785","1,674","1,407",35,115,414,855,21,487,3
VIVEROS DEL REAL,9,3,1,4,"473.680,34",401,451,289,0,7,89,194,0,160,1
VIVEROS DEL VALLE,6,4,0,3,"114.272,42",652,579,360,3,32,210,399,6,37,0
VOLCAN DEL COLLI,20,5,0,3,"249.449,51",431,445,236,36,15,82,151,2,81,4
XICOXOCHITL,1,1,1,1,"809.888,42",301,306,246,0,22,63,165,2,60,0
ZALATITAN CENTRO,252,48,21,43,"130.657,16","2,814","2,705","1,819",13,244,599,"1,559",48,753,29
ZAPOPAN,74,9,1,16,"1.551.636,83",0,0,0,0,0,0,0,0,0,0
ZAPOPAN CENTRO,53,1,1,7,"95.663,40",361,322,207,7,32,88,153,2,63,2
ZAPOTE DEL VALLE,137,15,10,31,"682.870,15","2,353","2,439","1,54",35,294,504,"1,306",30,484,10
ZONA CENTRO,7950,188,76,514,"282.719,27","6,513","6,383","2,143",203,656,"1,346","3,296",149,"2,393",57
ZONA INDUSTRIAL,946,22,8,48,"41.425,40",3,3,12,3,3,15,3,3,3,3
ZOQUIPAN,98,12,19,15,"149.021,27","1,285","1,085",572,1,105,211,667,12,228,1
ZOTOGRANDE,2,0,0,0,"63.269,67",106,102,35,1,5,28,74,0,2,0
